expEnergy1_alpha55	expEnergy2_alpha55	expEnergy3_alpha55	expEnergy4_alpha55	expEnergy5_alpha55	expSpec1_alpha55	expSpec2_alpha55	expSpec3_alpha55	expSpec4_alpha55	expSpec5_alpha55
279.90009	329.99979	279.90039	330.00116	279.90027	4727.2896	25957.596	4755.9727	25990.07	4781.5142
280.00043	279.99625	280.00067	280.00021	280.00037	4667.4043	4684.6338	4693.7749	4612.436	4599.769
280.0994	280.10019	280.10077	280.09918	280.10049	4697.4526	4692.6802	4739.6802	4788.5933	4738.3496
280.20062	280.19952	280.19952	280.19995	280.19992	4678.2246	4630.9956	4608.8843	4760.9849	4734.1987
280.29581	280.29929	280.29974	280.30017	280.30188	4657.4097	4680.7915	4725.0269	4769.9785	4766.0781
280.39935	280.39966	280.40018	280.40033	280.39969	4580.9175	4625.9482	4646.8906	4559.3057	4594.5366
280.49982	280.49979	280.49359	280.50058	280.50018	4645.6865	4663.313	4705.2573	4757.8936	4779.7993
280.60037	280.59863	280.5968	280.60056	280.6011	4659.8643	4650.4663	4689.2505	4772.5703	4776.7471
280.69861	280.69974	280.70065	280.70032	280.6998	4682.8081	4704.9155	4767.1646	4798.5869	4775.3403
280.79987	280.79984	280.80017	280.79938	280.80011	4630.4707	4682.7778	4726.9663	4621.5034	4654.2349
280.90036	280.90021	280.89935	280.9003	280.89944	4695.4019	4692.5151	4726.2285	4804.8428	4807.7622
281.00061	281.00031	280.99997	281.00021	281.00034	4673.1704	4736.4121	4669.0039	4797.8252	4822.0571
281.09973	281.10025	281.0994	281.09973	281.10046	4626.4004	4704.814	4702.8452	4781.0537	4791.5288
281.20016	281.20013	281.20032	281.20151	281.20065	4653.5815	4714.7871	4728.7393	4668.7627	4691.9233
281.29999	281.29965	281.2995	281.30038	281.30054	4666.3945	4642.0732	4723.147	4777.9712	4813.8296
281.40094	281.3999	281.40091	281.39972	281.40079	4687.5156	4711.729	4775.2637	4814.8877	4835.0547
281.49966	281.50073	281.50043	281.49976	281.50037	4631.9805	4687.6523	4751.3403	4681.4448	4759.0791
281.59967	281.59985	281.59976	281.59735	281.60001	4708.748	4742.1294	4832.1318	4817.145	4778.5508
281.69952	281.69962	281.7001	281.70044	281.70059	4722.688	4676.4331	4742.9067	4845.7783	4844.9111
281.79987	281.79977	281.80078	281.80042	281.80048	4716.6699	4746.8574	4841.541	4855.2349	4891.333
281.89954	281.89984	281.90005	281.90002	281.90005	4711.5952	4762.8145	4842.2896	4732.7954	4812.2861
282.00006	282.00024	281.99933	281.99997	282.00061	4793.9468	4830.2007	4917.8901	4913.7856	4897.2183
282.10202	282.1004	282.10004	282.09665	282.10062	4835.2466	4834.2476	4826.8379	4945.2114	4969.3389
282.19839	282.20029	282.20041	282.19226	282.19745	4903.0361	4939.8315	5013.6875	4982.7954	5022.811
282.30051	282.30002	282.29984	282.30026	282.29959	4959.835	4970.6465	4994.269	4844.917	4908.3276
282.39868	282.40033	282.40051	282.40082	282.40039	4934.3633	5013.9971	5063.6016	5016.5508	5057.2471
282.50177	282.49948	282.49939	282.49286	282.50043	4934.0972	4902.062	4951.8804	5038.791	5079.5239
282.59982	282.6001	282.60086	282.60016	282.60052	4905.2568	5004.3032	5058.8057	5108.1592	5121.2583
282.69489	282.69958	282.69995	282.69989	282.6998	4889.3608	5002.0815	5118.0815	4909.5991	5041.8735
282.80139	282.7998	282.79996	282.80054	282.80014	4879.8496	5009.25	5072.9106	5208.8906	5232.0449
282.90005	282.90045	282.90082	282.90094	282.90063	4842.7832	4937.8442	5139.1294	5240.3525	5323.5093
283.00031	282.99927	283.00345	283.00031	283.00006	4806.8574	5017.2266	5211.1611	5314.0742	5391.1636
283.10001	283.10001	283.09933	283.09964	283.10071	4881.2627	5119.855	5349.3633	5243.3301	5410.3271
283.19971	283.20102	283.20032	283.19958	283.2001	4884.0303	5220.5103	5391.3677	5590.4648	5703.938
283.30032	283.30035	283.30157	283.30426	283.30017	4960.6494	5315.8901	5649.9785	5838.0601	5939.8984
283.401	283.40012	283.40048	283.4003	283.40042	4913.6528	5493.8032	5842.1763	5996.9531	6208.1206
283.50012	283.49954	283.5	283.49982	283.49969	5251.5991	5959.8809	6472.3164	6519.8867	6777.001
283.60101	283.59964	283.60187	283.60025	283.60052	5600.8428	6633.7852	7453.042	8117.2061	8486.2939
283.70023	283.7002	283.69989	283.7005	283.70074	6748.9697	8692.5195	10944.799	12600.431	13445.028
283.80029	283.79935	283.7999	283.79956	283.79922	9003.2051	13242.761	17637.426	20884.361	22783.592
283.89987	283.89359	283.90018	283.89966	283.8996	11841.412	18575.793	26097.607	31030.719	33963.602
284.00171	284.00037	284.00003	284.00177	284.00162	14544.308	24403.24	33475.117	40181.309	44538.938
