eV_,TotalSpec_NEXAFS,E_55,ZnPc_55
280,0,270.2002,0.02738728
280.02001001,0,270.30035,0.02988302
280.04002001,0,270.40021,0.029569907
280.06003002,0,270.50003,0.024997925
280.08004002,0,270.59988,0.030689966
280.10005003,0,270.70062,0.031148272
280.12006003,0,270.79944,0.025619837
280.14007004,0,270.89856,0.02515264
280.16008004,0,271,0.026896864
280.18009005,0,271.10013,0.026240885
280.20010005,0,271.2001,0.024130739
280.22011006,0,271.3002,0.025485788
280.24012006,0,271.40067,0.027355436
280.26013007,0,271.49896,0.026270442
280.28014007,0,271.60107,0.022076787
280.30015008,0,271.6998,0.024040909
280.32016008,0,271.79636,0.024695363
280.34017009,0,271.89984,0.023211008
280.36018009,0,272.00015,0.022804517
280.3801901,0,272.10123,0.026963905
280.4002001,0,272.20038,0.026077412
280.42021011,0,272.29993,0.022037013
280.44022011,0,272.40002,0.019576171
280.46023012,0,272.50006,0.023040636
280.48024012,0,272.60172,0.022041624
280.50025013,0,272.70047,0.019185139
280.52026013,0,272.79993,0.01666598
280.54027014,0,272.90027,0.020106593
280.56028014,0,272.99588,0.019723156
280.58029015,0,273.09976,0.018134212
280.60030015,0,273.20068,0.016638413
280.62031016,0,273.30334,0.019416979
280.64032016,0,273.39963,0.017611651
280.66033017,0,273.50003,0.014830698
280.68034017,0,273.60291,0.013245933
280.70035018,0,273.70016,0.016999228
280.72036018,0,273.8002,0.015731355
280.74037019,0,273.90045,0.014084657
280.76038019,0,273.99988,0.012479291
280.7803902,0,274.10062,0.015853461
280.8004002,0,274.20084,0.014064156
280.82041021,0,274.29977,0.013234787
280.84042021,0,274.40005,0.011140497
280.86043022,0,274.50073,0.013483578
280.88044022,0,274.60016,0.01158298
280.90045023,0,274.7005,0.0082004843
280.92046023,0,274.7988,0.010855548
280.94047024,0,274.90015,0.012127369
280.96048024,0,275.00003,0.0096604889
280.98049025,0,275.10217,0.0078645833
281.00050025,0,275.20029,0.0095504243
281.02051026,0,275.30069,0.0092980508
281.04052026,0,275.39957,0.007488477
281.06053027,0,275.50073,0.0058531906
281.08054027,0,275.59991,0.0091513302
281.10055028,0,275.70102,0.0083963657
281.12056028,0,275.80203,0.00557335
281.14057029,0,275.90027,0.004254194
281.16058029,0,276.00015,0.0089440038
281.1805903,0,276.09985,0.0085061984
281.2006003,0,276.20026,0.0063633448
281.22061031,0,276.30011,0.0046123867
281.24062031,0,276.39984,0.0068017477
281.26063032,0,276.50003,0.0063998341
281.28064032,0,276.60236,0.0035973191
281.30065033,0,276.70013,0.00071655132
281.32066033,0,276.80063,0.0055957083
281.34067034,0,276.90012,0.0047230818
281.36068034,0,276.99985,0.004291811
281.38069035,0,277.09998,0.0028500173
281.40070035,0,277.2005,0.0047378438
281.42071036,0,277.29999,0.0032204837
281.44072036,0,277.39975,-0.00058077776
281.46073037,0,277.49991,0.00076461775
281.48074037,0,277.59973,0.0018914421
281.50075038,0,277.70016,-0.00050869473
281.52076038,0,277.80002,-0.0020457257
281.54077039,0,277.9003,0.00080916792
281.56078039,0,277.9993,0.00088387157
281.5807904,0,278.10043,-0.00049161108
281.6008004,0,278.19974,-0.00087610929
281.62081041,0,278.29315,0.00077569723
281.64082041,0,278.40076,0.00099294155
281.66083042,0,278.50211,0.0016878647
281.68084042,0,278.5994,-0.0016251361
281.70085043,0,278.70035,0.0012587499
281.72086043,0,278.79926,-0.001593689
281.74087044,0,278.90015,-0.0014870074
281.76088044,0,278.99982,-0.0032789663
281.78089045,0,279.10089,0.0014066313
281.80090045,0,279.19974,-0.001462659
281.82091046,0,279.29965,-0.00058313296
281.84092046,0,279.40067,-0.0043035541
281.86093047,0,279.49969,-0.00029675793
281.88094047,0,279.60007,-0.0030317341
281.90095048,0,279.69714,-0.00030186644
281.92096048,0,279.79977,-0.0033187727
281.94097049,0,279.90039,-0.0016757899
281.96098049,0,280.00067,-0.0044848397
281.9809905,0,280.10077,-0.0024116144
282.0010005,0,280.19952,-0.0083187753
282.02101051,0,280.29974,-0.0030733985
282.04102051,0,280.40018,-0.0066022836
282.06103052,0,280.49359,-0.0039662598
282.08104052,0,280.5968,-0.0046891803
282.10105053,0,280.70065,-0.0011703462
282.12106053,0,280.80017,-0.0029858241
282.14107054,0,280.89935,-0.0030191289
282.16108054,0,280.99997,-0.00560357
282.18109055,0,281.0994,-0.004075197
282.20110055,0,281.20032,-0.0029057465
282.22111056,0.009384254,281.2995,-0.003158319
282.24112056,0.029447533,281.40091,-0.000804557
282.26113057,0.057236873,281.50043,-0.0018850067
282.28114057,0.1086657,281.59976,0.0017637957
282.30115058,0.20448385,281.7001,-0.0022658892
282.32116058,0.38289094,281.80078,0.0021887308
282.34117059,0.71144509,281.90005,0.0022225331
282.36118059,1.3041774,281.99933,0.0056369081
282.3811906,2.3713374,282.10004,0.0015246909
282.4012006,4.2709846,282.20041,0.0099634174
282.42121061,7.6319895,282.29984,0.0090864124
282.44122061,13.507126,282.40051,0.012217696
282.46123062,23.695251,282.49939,0.007172015
282.48124062,41.200222,282.60086,0.012001082
282.50125063,71.006439,282.69995,0.014678173
282.52126063,121.30112,282.79996,0.01263812
282.54127064,205.40202,282.90082,0.015628753
282.56128064,344.76019,283.00345,0.018881945
282.58129065,573.59241,283.09933,0.025123581
282.60130065,945.94385,283.20032,0.027020629
282.62131066,1546.3357,283.30157,0.038700305
282.64132066,2505.6514,283.40048,0.047380559
282.66133067,4024.5535,283.5,0.075839661
282.68134067,6407.624,283.60187,0.12013233
282.70135068,10112.548,283.69989,0.27783102
282.72136068,15820.142,283.7999,0.580091
282.74137069,24532.914,283.90018,0.96217942
282.76138069,37711.992,284.00003,1.2953708
282.7813907,57465.094,284.10013,1.4853574
282.8014007,86801.297,284.2005,1.54114
282.82141071,129971.72,284.29932,1.5146118
282.84142071,192919.25,284.40045,1.4581701
282.86143072,283863.84,284.50052,1.4319676
282.88144072,414053.38,284.60034,1.4314845
282.90145073,598713,284.70032,1.5797917
282.92146073,858225.88,284.7995,1.9889357
282.94147074,1219579.2,284.90015,2.588074
282.96148074,1718103.4,285.00146,3.1700084
282.98149075,2399523.5,285.10071,3.302978
283.00150075,3322333.5,285.19998,2.96192
283.02151076,4560479,285.30005,2.5112669
283.04152076,6206311,285.40091,2.0621262
283.06153077,8373751,285.50018,1.5286592
283.08154077,11201542,285.60019,1.2043265
283.10155078,14856460,285.69821,0.9922139
283.12156078,19536274,285.79968,0.86726719
283.14157079,25472212,285.90045,0.7892223
283.16158079,32930656,286.00009,0.73577416
283.1815908,42213756,286.10001,0.68290627
283.2016008,53658576,286.1998,0.65729088
283.22161081,67634496,286.29971,0.67025352
283.24162081,84538512,286.40005,0.7425409
283.26163082,1.0478812e+08,286.50024,0.82487041
283.28164082,1.2881176e+08,286.60141,0.96777362
283.30165083,1.570365e+08,286.70099,1.1470433
283.32166083,1.8987328e+08,286.80124,1.4583322
283.34167084,2.2769978e+08,286.90018,1.7264693
283.36168084,2.7084144e+08,287.00085,1.7902925
283.38169085,3.1955123e+08,287.10031,1.6367044
283.40170085,3.7398886e+08,287.20074,1.485047
283.42171086,4.3420064e+08,287.29984,1.3092933
283.44172086,5.0010074e+08,287.40024,1.1685663
283.46173087,5.714551e+08,287.49991,1.0850304
283.48174087,6.4786944e+08,287.59943,1.0560685
283.50175088,7.2878131e+08,287.70023,1.0426955
283.52176088,8.1345907e+08,287.79996,1.0367703
283.54177089,9.0100608e+08,287.89914,1.0312438
283.56178089,9.903721e+08,287.99951,1.048174
283.5817909,1.0803716e+09,288.09357,1.0734483
283.6018009,1.1697087e+09,288.20071,1.1187692
283.62181091,1.2570068e+09,288.30002,1.1701128
283.64182091,1.3408451e+09,288.39709,1.2472303
283.66183092,1.4197961e+09,288.49966,1.3514369
283.68184092,1.4924689e+09,288.59769,1.468249
283.70185093,1.5575485e+09,288.69977,1.5840359
283.72186093,1.6138383e+09,288.80002,1.6552756
283.74187094,1.6602977e+09,288.89896,1.6623981
283.76188094,1.6960759e+09,289.00021,1.6251092
283.78189095,1.7205414e+09,289.10013,1.5811797
283.80190095,1.7333044e+09,289.20016,1.5452795
283.82191096,1.7342333e+09,289.30035,1.5245379
283.84192096,1.7234634e+09,289.3999,1.498536
283.86193097,1.7013993e+09,289.48969,1.4848231
283.88194097,1.6687099e+09,289.59961,1.4801098
283.90195098,1.6263185e+09,289.70395,1.4837248
283.92196098,1.5753864e+09,289.79797,1.474035
283.94197099,1.5172923e+09,289.89676,1.4875884
283.96198099,1.4536102e+09,290.00128,1.5074785
283.981991,1.3860823e+09,290.10034,1.5283289
284.002001,1.3165921e+09,290.2009,1.5446268
284.02201101,1.247136e+09,290.29651,1.5881357
284.04202101,1.179796e+09,290.39996,1.6306261
284.06203102,1.1167099e+09,290.50018,1.6774217
284.08204102,1.060044e+09,290.59988,1.7193019
284.10205103,1.0119641e+09,290.70035,1.7741349
284.12206103,9.746057e+08,290.79971,1.8235884
284.14207104,9.500432e+08,290.90009,1.8874321
284.16208104,9.4025594e+08,290.99991,1.9400942
284.18209105,9.4709222e+08,291.10083,2.0224972
284.20210105,9.7222861e+08,291.19998,2.092747
284.22211106,1.0171263e+09,291.29306,2.1562171
284.24212106,1.0829828e+09,291.40036,2.2161577
284.26213107,1.1706816e+09,291.49991,2.2824614
284.28214107,1.2807397e+09,291.59998,2.3282764
284.30215108,1.4132554e+09,291.70026,2.3706243
284.32216108,1.5678595e+09,291.80145,2.3959374
284.34217109,1.743671e+09,291.90134,2.428818
284.36218109,1.9392659e+09,292.00003,2.4524164
284.3821911,2.1526551e+09,292.10068,2.4715097
284.4022011,2.3812813e+09,292.19971,2.4817352
284.42221111,2.6220362e+09,292.29959,2.5059373
284.44222111,2.871298e+09,292.39896,2.5271871
284.46223112,3.1249946e+09,292.49936,2.5426364
284.48224112,3.378689e+09,292.60074,2.560035
284.50225113,3.6276887e+09,292.69983,2.5820644
284.52226113,3.8671741e+09,292.79993,2.5978048
284.54227114,4.092342e+09,292.90036,2.6061676
284.56228114,4.2985605e+09,292.99857,2.6083338
284.58229115,4.4815252e+09,293.09991,2.6143603
284.60230115,4.6374164e+09,293.20023,2.6109955
284.62231116,4.7630346e+09,293.30054,2.6033804
284.64232116,4.8559299e+09,293.4003,2.5893161
284.66233117,4.9144934e+09,293.49954,2.5860665
284.68234117,4.9380255e+09,293.60031,2.5788674
284.70235118,4.926761e+09,293.69998,2.5704017
284.72236118,4.8818621e+09,293.80029,2.5623181
284.74237119,4.8053688e+09,293.90021,2.561579
284.76238119,4.7001134e+09,293.99985,2.5597112
284.7823912,4.569601e+09,294.09976,2.5545371
284.8024012,4.4178668e+09,294.20047,2.5568104
284.82241121,4.2493074e+09,294.29993,2.557188
284.84242121,4.0685074e+09,294.39981,2.5536606
284.86243122,3.8800545e+09,294.49957,2.5450704
284.88244122,3.6883727e+09,294.60034,2.542608
284.90245123,3.4975585e+09,294.70007,2.5349548
284.92246123,3.3112461e+09,294.80008,2.5268538
284.94247124,3.1324997e+09,294.90015,2.5115449
284.96248124,2.9637366e+09,295.00073,2.5080702
284.98249125,2.8066857e+09,295.1001,2.4981768
285.00250125,2.66238e+09,295.20032,2.4864187
285.02251126,2.5311836e+09,295.29996,2.4694755
285.04252126,2.4128479e+09,295.39944,2.4596231
285.06253127,2.3065912e+09,295.50116,2.4467149
285.08254127,2.2112008e+09,295.59982,2.4269207
285.10255128,2.1251423e+09,295.70047,2.4054804
285.12256128,2.0466801e+09,295.80112,2.3919029
285.14257129,1.9739917e+09,295.90131,2.3749447
285.16258129,1.9052785e+09,295.99945,2.3588006
285.1825913,1.8388616e+09,296.09973,2.3362207
285.2026013,1.773264e+09,296.2002,2.3273489
285.22261131,1.7072707e+09,296.30066,2.3146772
285.24262131,1.6399708e+09,296.40039,2.3008313
285.26263132,1.5707768e+09,296.50037,2.2879343
285.28264132,1.4994263e+09,296.60046,2.2796848
285.30265133,1.4259654e+09,296.69998,2.2720835
285.32266133,1.3507167e+09,296.79941,2.2597466
285.34267134,1.2742367e+09,296.90421,2.252593
285.36268134,1.1972658e+09,296.99979,2.2488379
285.38269135,1.1206733e+09,297.10007,2.2437327
285.40270135,1.0454025e+09,297.1998,2.2375293
285.42271136,9.7241702e+08,297.29929,2.2349141
285.44272136,9.0265408e+08,297.39951,2.2346392
285.46273137,8.3698221e+08,297.50052,2.2335994
285.48274137,7.761696e+08,297.60059,2.2288713
285.50275138,7.2086061e+08,297.69775,2.2330642
285.52276138,6.7156154e+08,297.80026,2.2314479
285.54277139,6.2863654e+08,297.90015,2.231648
285.56278139,5.9231149e+08,297.99991,2.229183
285.5827914,5.6268602e+08,298.09949,2.2337155
285.6028014,5.397513e+08,298.20047,2.2353015
285.62281141,5.2341382e+08,298.30066,2.2336547
285.64282141,5.1352141e+08,298.39972,2.2373011
285.66283142,5.0989152e+08,298.49985,2.237627
285.68284142,5.1233875e+08,298.59915,2.2429981
285.70285143,5.2070106e+08,298.70129,2.2395396
285.72286143,5.3486166e+08,298.79984,2.2429569
285.74287144,5.5476576e+08,298.90082,2.2450817
285.76288144,5.8043091e+08,298.99966,2.2455695
285.78289145,6.1194899e+08,299.09967,2.2440257
285.80290145,6.4948038e+08,299.19928,2.2466922
285.82291146,6.9323891e+08,299.29996,2.2474101
285.84292146,7.4346816e+08,299.40161,2.2461212
285.86293147,8.0041075e+08,299.50024,2.240294
285.88294147,8.6427066e+08,299.60004,2.2437191
285.90295148,9.3517203e+08,299.69937,2.2396183
285.92296148,1.0131155e+09,299.80072,2.239666
285.94297149,1.0979363e+09,299.90021,2.2315588
285.96298149,1.1892664e+09,300.00061,2.2318106
285.9829915,1.2865041e+09,300.09995,2.2281635
286.0030015,1.3887939e+09,300.20078,2.2248709
286.02301151,1.4950193e+09,300.30045,2.2163744
286.04302151,1.6038108e+09,300.40103,2.2168121
286.06303152,1.7135683e+09,300.50055,2.2130466
286.08304152,1.8225001e+09,300.59952,2.2079349
286.10305153,1.9286774e+09,300.69928,2.2005875
286.12306153,2.030098e+09,300.80014,2.198734
286.14307154,2.1247634e+09,300.90137,2.1970022
286.16308154,2.2107571e+09,301.00058,2.1940243
286.18309155,2.286326e+09,301.09998,2.1867688
286.20310155,2.3499569e+09,301.20096,2.1873364
286.22311156,2.4004434e+09,301.30109,2.1838355
286.24312156,2.4369408e+09,301.39993,2.1802852
286.26313157,2.4590029e+09,301.50009,2.1747303
286.28314157,2.4666012e+09,301.60025,2.1759918
286.30315158,2.4601216e+09,301.70053,2.1742401
286.32316158,2.4403446e+09,301.79999,2.1719785
286.34317159,2.4084004e+09,301.90381,2.1690097
286.36318159,2.3657155e+09,302.00015,2.1692314
286.3831916,2.3139405e+09,302.10025,2.1694674
286.4032016,2.2548736e+09,302.19855,2.1663477
286.42321161,2.1903785e+09,302.29141,2.1646743
286.44322161,2.1223041e+09,302.39987,2.1656582
286.46323162,2.052412e+09,302.49689,2.1643887
286.48324162,1.9823099e+09,302.60022,2.1626434
286.50325163,1.9133997e+09,302.70096,2.1588337
286.52326163,1.8468421e+09,302.79922,2.158576
286.54327164,1.783532e+09,302.90024,2.1572568
286.56328164,1.7240938e+09,303.00159,2.1528258
286.58329165,1.6688878e+09,303.09949,2.1520436
286.60330165,1.618031e+09,303.20084,2.1486666
286.62331166,1.5714276e+09,303.30029,2.1457846
286.64332166,1.5288058e+09,303.39999,2.1397705
286.66333167,1.4897603e+09,303.49692,2.1370528
286.68334167,1.4537947e+09,303.59998,2.1353979
286.70335168,1.4203648e+09,303.70029,2.1279624
286.72336168,1.3889162e+09,303.80066,2.1188607
286.74337169,1.3589196e+09,303.89957,2.1168699
286.76338169,1.329897e+09,303.99673,2.1105249
286.7833917,1.3014432e+09,304.09967,2.1050375
286.8034017,1.2732401e+09,304.20081,2.0908422
286.82341171,1.2450627e+09,304.30048,2.0857196
286.84342171,1.2167804e+09,304.40018,2.0783741
286.86343172,1.1883526e+09,304.49945,2.0693562
286.88344172,1.1598202e+09,304.60019,2.0566111
